"ALGERIA                  "|1998|2746388473.8032000000
"ALGERIA                  "|1997|4705096214.1934000000
"ALGERIA                  "|1996|4691101028.3880000000
"ALGERIA                  "|1995|4692240612.2209000000
"ALGERIA                  "|1994|4677512644.2049000000
"ALGERIA                  "|1993|4684367583.8281000000
"ALGERIA                  "|1992|4704266160.0314000000
"ARGENTINA                "|1998|2718513010.8517000000
"ARGENTINA                "|1997|4646318596.6846000000
"ARGENTINA                "|1996|4656102598.0412000000
"ARGENTINA                "|1995|4652753173.2283000000
"ARGENTINA                "|1994|4645991799.5327000000
"ARGENTINA                "|1993|4643401137.5627000000
"ARGENTINA                "|1992|4617848896.7718000000
"BRAZIL                   "|1998|2731140677.1163000000
"BRAZIL                   "|1997|4675931143.5076000000
"BRAZIL                   "|1996|4665397071.9817000000
"BRAZIL                   "|1995|4661653435.2637000000
"BRAZIL                   "|1994|4664829056.3807000000
"BRAZIL                   "|1993|4675246060.5211000000
"BRAZIL                   "|1992|4699378591.6169000000
"CANADA                   "|1998|2737663014.1858000000
"CANADA                   "|1997|4680387035.7293000000
"CANADA                   "|1996|4682077548.1279000000
"CANADA                   "|1995|4683532053.5255000000
"CANADA                   "|1994|4661595473.3244000000
"CANADA                   "|1993|4663422610.2709000000
"CANADA                   "|1992|4693236211.6702000000
"CHINA                    "|1998|2734194369.8060000000
"CHINA                    "|1997|4683510835.7253000000
"CHINA                    "|1996|4694563430.7904000000
"CHINA                    "|1995|4659549932.0340000000
"CHINA                    "|1994|4668649255.3147000000
"CHINA                    "|1993|4653663845.2788000000
"CHINA                    "|1992|4671594192.3921000000
"EGYPT                    "|1998|2730076443.1884000000
"EGYPT                    "|1997|4641217395.7312000000
"EGYPT                    "|1996|4682023903.3341000000
"EGYPT                    "|1995|4656985688.9953000000
"EGYPT                    "|1994|4639974596.4792000000
"EGYPT                    "|1993|4654217487.6341000000
"EGYPT                    "|1992|4655508405.6203000000
"ETHIOPIA                 "|1998|2771891798.5626000000
"ETHIOPIA                 "|1997|4691462902.6513000000
"ETHIOPIA                 "|1996|4699807893.8519000000
"ETHIOPIA                 "|1995|4712019051.0500000000
"ETHIOPIA                 "|1994|4714485895.7143000000
"ETHIOPIA                 "|1993|4673334464.7560000000
"ETHIOPIA                 "|1992|4709982012.2332000000
"FRANCE                   "|1998|2749352687.4774000000
"FRANCE                   "|1997|4691958256.2337000000
"FRANCE                   "|1996|4720197405.4933000000
"FRANCE                   "|1995|4702056754.2862000000
"FRANCE                   "|1994|4701239088.1534000000
"FRANCE                   "|1993|4712310290.5728000000
"FRANCE                   "|1992|4706154746.0950000000
"GERMANY                  "|1998|2767125834.8583000000
"GERMANY                  "|1997|4703923545.6778000000
"GERMANY                  "|1996|4690487560.3747000000
"GERMANY                  "|1995|4686747664.0253000000
"GERMANY                  "|1994|4660352911.1835000000
"GERMANY                  "|1993|4692160055.6115000000
"GERMANY                  "|1992|4691498075.8817000000
"INDIA                    "|1998|2732579085.7320000000
"INDIA                    "|1997|4678477185.9828000000
"INDIA                    "|1996|4673866490.2673000000
"INDIA                    "|1995|4674959076.8220000000
"INDIA                    "|1994|4681827178.3883000000
"INDIA                    "|1993|4643481746.8153000000
"INDIA                    "|1992|4665882504.0580000000
"INDONESIA                "|1998|2745112789.9308000000
"INDONESIA                "|1997|4665596134.6372000000
"INDONESIA                "|1996|4669667677.0694000000
"INDONESIA                "|1995|4667166725.6425000000
"INDONESIA                "|1994|4662762228.6715000000
"INDONESIA                "|1993|4656778134.1717000000
"INDONESIA                "|1992|4670973296.6516000000
"IRAN                     "|1998|2723216170.3955000000
"IRAN                     "|1997|4609684248.8494000000
"IRAN                     "|1996|4628753160.9335000000
"IRAN                     "|1995|4627120996.2797000000
"IRAN                     "|1994|4608487551.0284000000
"IRAN                     "|1993|4620764336.3543000000
"IRAN                     "|1992|4627902203.8205000000
"IRAQ                     "|1998|2740906684.5899000000
"IRAQ                     "|1997|4666298134.8121000000
"IRAQ                     "|1996|4684322817.7602000000
"IRAQ                     "|1995|4653983196.7067000000
"IRAQ                     "|1994|4683335111.0202000000
"IRAQ                     "|1993|4667160512.2664000000
"IRAQ                     "|1992|4678315491.6055000000
"JAPAN                    "|1998|2724504496.6036000000
"JAPAN                    "|1997|4609764983.8460000000
"JAPAN                    "|1996|4650986737.2104000000
"JAPAN                    "|1995|4663812104.3333000000
"JAPAN                    "|1994|4633301980.7018000000
"JAPAN                    "|1993|4638916610.4736000000
"JAPAN                    "|1992|4656081490.0799000000
"JORDAN                   "|1998|2742880098.5775000000
"JORDAN                   "|1997|4672752862.4339000000
"JORDAN                   "|1996|4667670128.2117000000
"JORDAN                   "|1995|4651272615.6814000000
"JORDAN                   "|1994|4670362946.3448000000
"JORDAN                   "|1993|4673339129.9122000000
"JORDAN                   "|1992|4675813230.0285000000
"KENYA                    "|1998|2717580811.0000000000
"KENYA                    "|1997|4606427219.5743000000
"KENYA                    "|1996|4628365122.1309000000
"KENYA                    "|1995|4611166905.2203000000
"KENYA                    "|1994|4616660205.3054000000
"KENYA                    "|1993|4629037306.5682000000
"KENYA                    "|1992|4635940424.6568000000
"MOROCCO                  "|1998|2728973692.6920000000
"MOROCCO                  "|1997|4677385007.6678000000
"MOROCCO                  "|1996|4691138516.3593000000
"MOROCCO                  "|1995|4672866595.7418000000
"MOROCCO                  "|1994|4679363707.8996000000
"MOROCCO                  "|1993|4657343605.4867000000
"MOROCCO                  "|1992|4673293158.1836000000
